url,date,name,n_encounters,n_shiny
https://thesilphroad.com/science/oddish-shiny-rates/,20191004,oddish,10988,94
https://thesilphroad.com/science/quick-discovery/world-tourism-day-zangoose-seviper-shiny-rates/,20190928,zangoose_seviper,8977,24
https://thesilphroad.com/science/quick-discovery/montreal-safari-zone-weekend-yanma-shiny-rates/,20190921,yanma,4052,37
https://thesilphroad.com/science/quick-discovery/ultra-bonus-week-3-shiny-rates/,20190919,patrat,4479,16
https://thesilphroad.com/science/quick-discovery/ultra-bonus-week-3-shiny-rates/,20190919,lillipup,4567,14
https://thesilphroad.com/science/quick-discovery/johto-journey-sentret-gligar-shiny-rates/,20190903,sentret,19297,54
https://thesilphroad.com/science/quick-discovery/johto-journey-sentret-gligar-shiny-rates/,20190903,gligar_early,1971,3
https://thesilphroad.com/science/quick-discovery/johto-journey-sentret-gligar-shiny-rates/,20190903,gligar_later,4234,33
https://thesilphroad.com/science/quick-discovery/water-festival-2019-barboach-and-carvanha-shiny-rates/,20190824,barboach,9958,23
https://thesilphroad.com/science/quick-discovery/water-festival-2019-barboach-and-carvanha-shiny-rates/,20190824,carvanha,10386,20
https://thesilphroad.com/science/quick-discovery/yokohama-go-fest-poliwag-shiny-rates/,20190806,poliwag,5627,40
https://thesilphroad.com/science/quick-discovery/team-go-rocket-event-shiny-rates/,20190727,koffing,24902,65
https://thesilphroad.com/science/quick-discovery/team-go-rocket-event-shiny-rates/,20190727,ekans,13018,37
https://thesilphroad.com/science/quick-discovery/team-go-rocket-event-shiny-rates/,20190727,sneasel,1588,13
https://thesilphroad.com/science/quick-discovery/team-go-rocket-event-shiny-rates/,20190727,zubat,844,3
https://thesilphroad.com/science/quick-discovery/dortmund-go-fest-nidoran-shiny-rates/,20190704,nidoran_m,5722,53
https://thesilphroad.com/science/quick-discovery/alolan-pokemon-shiny-rates/,20190629,diglett_a,5373,11
https://thesilphroad.com/science/quick-discovery/alolan-pokemon-shiny-rates/,20190629,exeggutor_a,1048,17
https://thesilphroad.com/science/quick-discovery/alolan-pokemon-shiny-rates/,20190629,geodude_a,6724,19
https://thesilphroad.com/science/quick-discovery/alolan-pokemon-shiny-rates/,20190629,rattata_a,5179,14
https://thesilphroad.com/science/go-fest-weekend-shiny-horsea-rate/,20190613,horsea,7303,64
https://thesilphroad.com/science/quick-discovery/adventure-week-shiny-rates/,20190615,onix,null,null
https://thesilphroad.com/science/quick-discovery/adventure-week-shiny-rates/,20190615,lileep,null,null
https://thesilphroad.com/science/quick-discovery/adventure-week-shiny-rates/,20190615,anorith,null,null
https://thesilphroad.com/science/extraordinary-raid-week-bronzor-shiny-rate/,20190522,bronzor,2479,15
https://thesilphroad.com/science/quick-discovery/detective-pikachu-event-aipom-shiny-rate/,20190508,aipom,null,null
https://thesilphroad.com/science/shiny-meltan-event/,20190225,meltan,7850,128
https://thesilphroad.com/science/lunar-new-year-boosted-lucky-rates/,20190214,spoink,null,null
